date,open,high,low,close,volume,dollar_volume,trade_count,sources
2008-12-03,0.006000,0.006000,0.006000,0.006000,234,1.40,1,local-cache
2008-12-05,0.009000,0.009000,0.009000,0.009000,10000,90.00,1,local-cache
2008-12-08,0.009000,0.009000,0.009000,0.009000,900,8.10,1,local-cache
2008-12-11,0.007000,0.007000,0.007000,0.007000,2500,17.50,1,local-cache
2008-12-12,0.007000,0.007000,0.005000,0.006000,1273700,7642.20,9,local-cache
2008-12-15,0.006000,0.006000,0.006000,0.006000,600000,3600.00,3,local-cache
2008-12-19,0.009000,0.009000,0.009000,0.009000,10000,90.00,1,local-cache
2008-12-22,0.009000,0.009000,0.009000,0.009000,4600,41.40,1,local-cache
2008-12-23,0.007000,0.007000,0.007000,0.007000,110000,770.00,1,local-cache
2008-12-30,0.009000,0.010000,0.008000,0.008000,85000,680.00,3,local-cache
2008-12-31,0.008000,0.008000,0.008000,0.008000,610,4.88,1,local-cache
2009-01-05,0.009000,0.009000,0.009000,0.009000,10000,90.00,1,local-cache
2009-01-06,0.009000,0.009000,0.009000,0.009000,13772,123.95,1,local-cache
2009-01-12,0.010000,0.010000,0.010000,0.010000,1000,10.00,1,local-cache
2009-01-20,0.010000,0.010000,0.010000,0.010000,220,2.20,1,local-cache
2009-01-21,0.010000,0.010000,0.010000,0.010000,50000,500.00,1,local-cache
2009-01-23,0.010000,0.010000,0.010000,0.010000,2500,25.00,1,local-cache
2009-01-26,0.010000,0.010000,0.010000,0.010000,2000,20.00,1,local-cache
2009-01-29,0.010000,0.010000,0.010000,0.010000,1000,10.00,1,local-cache
2009-02-02,0.010000,0.010000,0.010000,0.010000,3193,31.93,2,local-cache
2009-02-03,0.010000,0.010000,0.010000,0.010000,0,0.00,1,local-cache
2009-02-04,0.010000,0.010000,0.010000,0.010000,210000,2100.00,2,local-cache
2009-02-06,0.010000,0.010000,0.010000,0.010000,5000,50.00,1,local-cache
2009-02-10,0.007000,0.010000,0.007000,0.010000,2000,20.00,2,local-cache
2009-02-13,0.014000,0.014000,0.014000,0.014000,100000,1400.00,1,local-cache
2009-02-18,0.009000,0.009000,0.009000,0.009000,175000,1575.00,1,local-cache
2009-02-19,0.014000,0.014000,0.014000,0.014000,60000,840.00,1,local-cache
2009-02-26,0.014000,0.014000,0.014000,0.014000,75000,1050.00,2,local-cache
2009-03-17,0.010000,0.010000,0.010000,0.010000,386250,3862.50,1,local-cache
2009-03-18,0.009000,0.009000,0.004000,0.004000,9294027,37176.11,21,local-cache
2009-03-19,0.005000,0.010000,0.005000,0.009000,3938000,35442.00,15,local-cache
2009-03-20,0.008000,0.008000,0.008000,0.008000,742000,5936.00,7,local-cache
2009-03-25,0.008000,0.008000,0.008000,0.008000,9000,72.00,2,local-cache
2009-03-26,0.006000,0.006000,0.005000,0.005000,31420162,157100.81,18,local-cache
2009-03-31,0.007000,0.007000,0.007000,0.007000,30000,210.00,2,local-cache
2009-04-01,0.006000,0.006000,0.006000,0.006000,100000,600.00,1,local-cache
2009-04-06,0.006000,0.006000,0.006000,0.006000,75000,450.00,1,local-cache
2009-04-09,0.006000,0.006000,0.006000,0.006000,150000,900.00,2,local-cache
2009-04-13,0.006000,0.006000,0.006000,0.006000,400000,2400.00,3,local-cache
2009-04-14,0.006000,0.006000,0.006000,0.006000,75000,450.00,1,local-cache
2009-04-15,0.006000,0.006000,0.006000,0.006000,520000,3120.00,4,local-cache
2009-04-16,0.005000,0.005000,0.004000,0.004000,9435000,37740.00,17,local-cache
2009-04-17,0.003000,0.004000,0.002000,0.004000,14350503,57402.01,14,local-cache
2009-04-20,0.004000,0.004000,0.004000,0.004000,55000,220.00,1,local-cache
2009-04-21,0.004000,0.004000,0.003000,0.003000,3070532,9211.60,12,local-cache
2009-04-22,0.003000,0.004000,0.002000,0.003000,1475000,4425.00,9,local-cache
2009-04-23,0.002000,0.002000,0.002000,0.002000,5000,10.00,1,local-cache
2009-04-24,0.003000,0.004000,0.003000,0.004000,4067400,16269.60,4,local-cache
2009-04-27,0.004000,0.004000,0.004000,0.004000,9599000,38396.00,20,local-cache
2009-04-28,0.004000,0.004000,0.004000,0.004000,16430000,65720.00,14,local-cache
2009-04-29,0.004000,0.005000,0.004000,0.004000,40463044,161852.18,27,local-cache
2009-04-30,0.004000,0.004000,0.004000,0.004000,2345956,9383.82,9,local-cache
2009-05-01,0.004000,0.005000,0.004000,0.005000,13207462,66037.31,15,local-cache
2009-05-04,0.006000,0.006000,0.004000,0.004000,4520000,18080.00,12,local-cache
2009-05-05,0.005000,0.006000,0.004000,0.006000,24337649,146025.89,27,local-cache
2009-05-06,0.006000,0.010000,0.006000,0.010000,40265950,402659.50,38,local-cache
2009-05-07,0.009000,0.009000,0.004000,0.006000,45443976,272663.86,38,local-cache
2009-05-08,0.006000,0.006000,0.004000,0.005000,8683199,43416.00,12,local-cache
2009-05-11,0.004000,0.006000,0.004000,0.006000,1131445,6788.67,5,local-cache
2009-05-13,0.006000,0.006000,0.004000,0.004000,206000,824.00,5,local-cache
2009-05-14,0.004000,0.004000,0.004000,0.004000,8000,32.00,1,local-cache
2009-05-18,0.005000,0.005000,0.004000,0.004000,8010000,32040.00,13,local-cache
2009-05-19,0.004000,0.004000,0.004000,0.004000,3560000,14240.00,4,local-cache
2009-05-20,0.004000,0.005000,0.003000,0.005000,10352666,51763.33,20,local-cache
2009-05-26,0.004000,0.004000,0.003000,0.003000,16977000,50931.00,16,local-cache
2009-05-27,0.003000,0.003000,0.003000,0.003000,800000,2400.00,6,local-cache
2009-05-28,0.003000,0.003000,0.003000,0.003000,523000,1569.00,4,local-cache
2009-05-29,0.003000,0.004000,0.003000,0.004000,6919165,27676.66,9,local-cache
2009-06-01,0.003000,0.003000,0.003000,0.003000,115000,345.00,1,local-cache
2009-06-02,0.003000,0.003000,0.002000,0.002000,493550,987.10,6,local-cache
2009-06-03,0.002000,0.002000,0.002000,0.002000,6220250,12440.50,13,local-cache
2009-06-04,0.002000,0.002000,0.001000,0.001000,44336000,44336.00,19,local-cache
2009-06-05,0.001000,0.001000,0.001000,0.001000,2936455,2936.45,6,local-cache
2009-06-08,0.001000,0.001000,0.001000,0.001000,50000,50.00,1,local-cache
2009-06-09,0.001000,0.001000,0.001000,0.001000,240000,240.00,2,local-cache
2009-06-10,0.002000,0.002000,0.002000,0.002000,23509470,47018.94,18,local-cache
2009-06-11,0.002000,0.002000,0.001000,0.002000,7257500,14515.00,12,local-cache
2009-06-12,0.002000,0.002000,0.002000,0.002000,25314000,50628.00,14,local-cache
2009-06-15,0.002000,0.003000,0.002000,0.003000,4202110,12606.33,8,local-cache
2009-06-16,0.003000,0.003000,0.002000,0.003000,313197048,939591.14,53,local-cache
2009-06-17,0.003000,0.003000,0.002000,0.003000,23725206,71175.62,16,local-cache
2009-06-18,0.003000,0.003000,0.003000,0.003000,226000,678.00,3,local-cache
2009-06-19,0.003000,0.003000,0.003000,0.003000,103365,310.10,2,local-cache
2009-06-22,0.003000,0.003000,0.002000,0.003000,14224168,42672.50,17,local-cache
2009-06-23,0.003000,0.003000,0.003000,0.003000,2577600,7732.80,3,local-cache
2009-06-24,0.003000,0.003000,0.002000,0.002000,12254425,24508.85,12,local-cache
2009-06-25,0.002000,0.003000,0.002000,0.003000,17569687,52709.06,12,local-cache
